"Station Name","BARRIE-ORO"
"Province","ONTARIO"
"Latitude","44.48"
"Longitude","-79.55"
"Elevation","289.00"
"Climate Identifier","6117700"
"WMO Identifier","71314"
"TC Identifier","XBI"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2017-08-01 00:00","2017","08","01","00:00","17.7","","15.7","","88","","29","","7","","","","98.45","","","","","","NA"
"2017-08-01 01:00","2017","08","01","01:00","17.2","","15.8","","92","","28","","9","","","","98.46","","","","","","NA"
"2017-08-01 02:00","2017","08","01","02:00","16.9","","15.7","","93","","28","","7","","","","98.42","","","","","","NA"
"2017-08-01 03:00","2017","08","01","03:00","16.2","","14.9","","92","","29","","5","","","","98.40","","","","","","NA"
"2017-08-01 04:00","2017","08","01","04:00","15.8","","14.8","","94","","30","","5","","","","98.40","","","","","","NA"
"2017-08-01 05:00","2017","08","01","05:00","14.9","","13.8","","93","","33","","3","","","","98.42","","","","","","NA"
"2017-08-01 06:00","2017","08","01","06:00","15.5","","14.3","","93","","29","","4","","","","98.44","","","","","","NA"
"2017-08-01 07:00","2017","08","01","07:00","18.2","","17.1","","94","","28","","7","","","","98.48","","","","","","NA"
"2017-08-01 08:00","2017","08","01","08:00","21.8","","17.8","","78","","28","","2","","","","98.49","","28","","","","NA"
"2017-08-01 09:00","2017","08","01","09:00"
"2017-08-01 10:00","2017","08","01","10:00"
"2017-08-01 11:00","2017","08","01","11:00"
"2017-08-01 12:00","2017","08","01","12:00"
"2017-08-01 13:00","2017","08","01","13:00"
"2017-08-01 14:00","2017","08","01","14:00"
"2017-08-01 15:00","2017","08","01","15:00"
"2017-08-01 16:00","2017","08","01","16:00","27.8","","16.9","","51","","17","","11","","","","98.18","","33","","","","NA"
"2017-08-01 17:00","2017","08","01","17:00","21.1","","14.7","","67","","23","","12","","","","98.28","","25","","","","NA"
"2017-08-01 18:00","2017","08","01","18:00","20.5","","16.3","","77","","28","","13","","","","98.22","","25","","","","NA"
"2017-08-01 19:00","2017","08","01","19:00","22.6","","16.4","","68","","26","","8","","","","98.21","","27","","","","NA"
"2017-08-01 20:00","2017","08","01","20:00","20.6","","17.0","","80","","21","","6","","","","98.27","","26","","","","NA"
"2017-08-01 21:00","2017","08","01","21:00","18.6","","16.7","","89","","30","","7","","","","98.30","","","","","","NA"
"2017-08-01 22:00","2017","08","01","22:00","17.7","","16.2","","91","","35","","2","","","","98.25","","","","","","NA"
"2017-08-01 23:00","2017","08","01","23:00","17.9","","15.9","","88","","28","","2","","","","98.25","","","","","","NA"
"2017-08-02 00:00","2017","08","02","00:00","17.0","","15.6","","92","","","","0","","","","98.23","","","","","","NA"
"2017-08-02 01:00","2017","08","02","01:00","16.3","","14.9","","92","","","","0","","","","98.21","","","","","","NA"
"2017-08-02 02:00","2017","08","02","02:00","16.4","","15.2","","93","","","","0","","","","98.22","","","","","","NA"
"2017-08-02 03:00","2017","08","02","03:00","15.1","","13.8","","92","","","","0","","","","98.21","","","","","","NA"
"2017-08-02 04:00","2017","08","02","04:00","14.9","","13.6","","91","","28","","1","","","","98.22","","","","","","NA"
"2017-08-02 05:00","2017","08","02","05:00","14.8","","13.6","","93","","","","0","","","","98.22","","","","","","NA"
"2017-08-02 06:00","2017","08","02","06:00","15.4","","14.3","","93","","28","","2","","","","98.25","","","","","","NA"
"2017-08-02 07:00","2017","08","02","07:00","19.5","","17.4","","88","","29","","6","","","","98.27","","","","","","NA"
"2017-08-02 08:00","2017","08","02","08:00","22.7","","17.0","","70","","28","","6","","","","98.25","","28","","","","NA"
"2017-08-02 09:00","2017","08","02","09:00","22.7","","17.5","","72","","18","","11","","","","98.25","","28","","","","NA"
"2017-08-02 10:00","2017","08","02","10:00","23.2","","18.7","","76","","23","","7","","","","98.24","","30","","","","NA"
"2017-08-02 11:00","2017","08","02","11:00","25.3","","17.9","","64","","20","","12","","","","98.21","","31","","","","NA"
"2017-08-02 12:00","2017","08","02","12:00","26.0","","18.6","","64","","24","","11","","","","98.17","","32","","","","NA"
"2017-08-02 13:00","2017","08","02","13:00","21.9","","16.2","","70","","35","","12","","","","98.21","","27","","","","NA"
"2017-08-02 14:00","2017","08","02","14:00","23.5","","18.1","","72","","32","","8","","","","98.14","","30","","","","NA"
"2017-08-02 15:00","2017","08","02","15:00","24.2","","19.3","","74","","20","","3","","","","98.11","","31","","","","NA"
"2017-08-02 16:00","2017","08","02","16:00","26.8","","15.9","","51","","32","","14","","","","98.14","","31","","","","NA"
"2017-08-02 17:00","2017","08","02","17:00","25.2","","17.9","","64","","7","","12","","","","98.14","","31","","","","NA"
"2017-08-02 18:00","2017","08","02","18:00","23.2","","17.7","","71","","15","","8","","","","98.20","","29","","","","NA"
"2017-08-02 19:00","2017","08","02","19:00","22.3","","18.5","","79","","17","","5","","","","98.21","","29","","","","NA"
"2017-08-02 20:00","2017","08","02","20:00","20.6","","17.8","","84","","20","","1","","","","98.25","","26","","","","NA"
"2017-08-02 21:00","2017","08","02","21:00","18.9","","17.1","","90","","","","0","","","","98.26","","","","","","NA"
"2017-08-02 22:00","2017","08","02","22:00","18.0","","16.5","","91","","","","0","","","","98.26","","","","","","NA"
"2017-08-02 23:00","2017","08","02","23:00","17.7","","16.5","","93","","33","","4","","","","98.30","","","","","","NA"
"2017-08-03 00:00","2017","08","03","00:00","18.3","","16.8","","91","","","","0","","","","98.34","","","","","","NA"
"2017-08-03 01:00","2017","08","03","01:00","17.8","","16.5","","92","","","","0","","","","98.35","","","","","","NA"
"2017-08-03 02:00","2017","08","03","02:00","16.8","","15.8","","94","","33","","3","","","","98.32","","","","","","NA"
"2017-08-03 03:00","2017","08","03","03:00","16.7","","15.7","","94","","","","0","","","","98.31","","","","","","NA"
"2017-08-03 04:00","2017","08","03","04:00","16.5","","15.7","","95","","27","","2","","","","98.33","","","","","","NA"
"2017-08-03 05:00","2017","08","03","05:00","17.7","","17.0","","95","","36","","3","","","","98.37","","","","","","NA"
"2017-08-03 06:00","2017","08","03","06:00","17.9","","17.2","","95","","35","","7","","","","98.41","","","","","","NA"
"2017-08-03 07:00","2017","08","03","07:00","18.4","","17.6","","95","","1","","5","","","","98.44","","","","","","NA"
"2017-08-03 08:00","2017","08","03","08:00","19.0","","17.7","","92","","36","","9","","","","98.48","","","","","","NA"
"2017-08-03 09:00","2017","08","03","09:00","19.8","","17.4","","86","","36","","10","","","","98.49","","","","","","NA"
"2017-08-03 10:00","2017","08","03","10:00","21.7","","18.6","","83","","4","","9","","","","98.49","","28","","","","NA"
"2017-08-03 11:00","2017","08","03","11:00","22.7","","18.4","","77","","9","","7","","","","98.46","","29","","","","NA"
"2017-08-03 12:00","2017","08","03","12:00","23.4","","18.4","","73","","16","","6","","","","98.42","","30","","","","NA"
"2017-08-03 13:00","2017","08","03","13:00","24.6","","17.5","","65","","14","","5","","","","98.31","","30","","","","NA"
"2017-08-03 14:00","2017","08","03","14:00","24.7","","17.5","","64","","17","","6","","","","98.23","","30","","","","NA"
"2017-08-03 15:00","2017","08","03","15:00","25.2","","17.9","","64","","12","","7","","","","98.17","","31","","","","NA"
"2017-08-03 16:00","2017","08","03","16:00","23.5","","18.1","","72","","11","","13","","","","98.21","","30","","","","NA"
"2017-08-03 17:00","2017","08","03","17:00","20.2","","16.7","","81","","17","","11","","","","98.19","","25","","","","NA"
"2017-08-03 18:00","2017","08","03","18:00","19.9","","17.6","","87","","31","","4","","","","98.19","","","","","","NA"
"2017-08-03 19:00","2017","08","03","19:00","20.0","","17.8","","87","","9","","10","","","","98.18","","26","","","","NA"
"2017-08-03 20:00","2017","08","03","20:00","19.9","","17.8","","87","","11","","8","","","","98.15","","","","","","NA"
"2017-08-03 21:00","2017","08","03","21:00","20.0","","18.1","","89","","13","","6","","","","98.10","","26","","","","NA"
"2017-08-03 22:00","2017","08","03","22:00","20.4","","18.9","","92","","13","","9","","","","98.05","","27","","","","NA"
"2017-08-03 23:00","2017","08","03","23:00","20.2","","18.3","","89","","15","","10","","","","97.94","","26","","","","NA"
"2017-08-04 00:00","2017","08","04","00:00","20.2","","18.5","","91","","13","","10","","","","97.91","","27","","","","NA"
"2017-08-04 01:00","2017","08","04","01:00","20.2","","18.8","","92","","14","","11","","","","97.83","","27","","","","NA"
"2017-08-04 02:00","2017","08","04","02:00","20.0","","18.4","","91","","17","","11","","","","97.81","","26","","","","NA"
"2017-08-04 03:00","2017","08","04","03:00","19.5","","17.6","","88","","15","","14","","","","97.75","","","","","","NA"
"2017-08-04 04:00","2017","08","04","04:00","19.2","","17.5","","90","","19","","9","","","","97.74","","","","","","NA"
"2017-08-04 05:00","2017","08","04","05:00","19.2","","17.3","","89","","17","","11","","","","97.67","","","","","","NA"
"2017-08-04 06:00","2017","08","04","06:00","19.1","","17.4","","90","","18","","11","","","","97.65","","","","","","NA"
"2017-08-04 07:00","2017","08","04","07:00","19.2","","17.3","","89","","19","","13","","","","97.64","","","","","","NA"
"2017-08-04 08:00","2017","08","04","08:00","20.3","","17.7","","85","","19","","13","","","","97.63","","26","","","","NA"
"2017-08-04 09:00","2017","08","04","09:00","21.4","","17.9","","81","","19","","17","","","","97.60","","27","","","","NA"
"2017-08-04 10:00","2017","08","04","10:00","22.2","","18.3","","79","","19","","14","","","","97.58","","28","","","","NA"
"2017-08-04 11:00","2017","08","04","11:00","22.8","","19.3","","81","","16","","15","","","","97.50","","30","","","","NA"
"2017-08-04 12:00","2017","08","04","12:00","22.9","","19.6","","82","","15","","17","","","","97.39","","30","","","","NA"
"2017-08-04 13:00","2017","08","04","13:00","22.5","","20.4","","88","","15","","16","","","","97.32","","30","","","","NA"
"2017-08-04 14:00","2017","08","04","14:00","23.7","","19.6","","78","","17","","24","","","","97.20","","31","","","","NA"
"2017-08-04 15:00","2017","08","04","15:00","23.9","","17.9","","69","","19","","21","","","","97.19","","30","","","","NA"
"2017-08-04 16:00","2017","08","04","16:00","23.5","","18.3","","73","","19","","13","","","","97.18","","30","","","","NA"
"2017-08-04 17:00","2017","08","04","17:00","20.8","","18.1","","85","","18","","22","","","","97.20","","27","","","","NA"
"2017-08-04 18:00","2017","08","04","18:00","19.1","","17.2","","89","","17","","17","","","","97.15","","","","","","NA"
"2017-08-04 19:00","2017","08","04","19:00","18.8","","16.7","","88","","19","","17","","","","97.14","","","","","","NA"
"2017-08-04 20:00","2017","08","04","20:00","18.7","","17.1","","91","","18","","14","","","","97.14","","","","","","NA"
"2017-08-04 21:00","2017","08","04","21:00","18.7","","16.8","","89","","20","","14","","","","97.19","","","","","","NA"
"2017-08-04 22:00","2017","08","04","22:00","18.2","","11.4","","64","","24","","15","","","","97.23","","","","","","NA"
"2017-08-04 23:00","2017","08","04","23:00","16.1","","11.1","","72","","24","","10","","","","97.24","","","","","","NA"
"2017-08-05 00:00","2017","08","05","00:00","15.5","","11.3","","76","","20","","12","","","","97.24","","","","","","NA"
"2017-08-05 01:00","2017","08","05","01:00","14.9","","11.5","","80","","20","","10","","","","97.22","","","","","","NA"
"2017-08-05 02:00","2017","08","05","02:00","14.5","","11.8","","84","","20","","8","","","","97.20","","","","","","NA"
"2017-08-05 03:00","2017","08","05","03:00","14.1","","12.0","","87","","21","","8","","","","97.17","","","","","","NA"
"2017-08-05 04:00","2017","08","05","04:00","14.5","","12.4","","87","","23","","12","","","","97.18","","","","","","NA"
"2017-08-05 05:00","2017","08","05","05:00","14.7","","12.3","","86","","23","","10","","","","97.19","","","","","","NA"
"2017-08-05 06:00","2017","08","05","06:00","15.0","","12.5","","85","","23","","12","","","","97.27","","","","","","NA"
"2017-08-05 07:00","2017","08","05","07:00","15.8","","12.7","","82","","23","","15","","","","97.31","","","","","","NA"
"2017-08-05 08:00","2017","08","05","08:00","16.7","","13.0","","78","","25","","17","","","","97.36","","","","","","NA"
"2017-08-05 09:00","2017","08","05","09:00","15.5","","13.6","","88","","26","","22","","","","97.43","","","","","","NA"
