"Station Name","TORONTO CITY"
"Province","ONTARIO"
"Current Station Operator","Environment and Climate Change Canada - Meteorological Service of Canada"
"Latitude","43.67"
"Longitude","-79.40"
"Elevation","112.50"
"Climate Identifier","6158355"
"WMO Identifier","71508"
"TC Identifier","XTO"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"

"Date/Time","Year","Month","Day","Time","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2018-12-01 00:00","2018","12","01","00:00","2.7","","-1.4","","75","","","M","","M","","","100.74","","","","","","NA"
"2018-12-01 01:00","2018","12","01","01:00","2.6","","-1.3","","75","","","M","","M","","","100.68","","","","","","NA"
"2018-12-01 02:00","2018","12","01","02:00","2.5","","-1.4","","76","","","M","","M","","","100.71","","","","","","NA"
"2018-12-01 03:00","2018","12","01","03:00","1.7","","-2.2","","75","","","M","","M","","","100.78","","","","","","NA"
"2018-12-01 04:00","2018","12","01","04:00","1.6","","-2.0","","77","","","M","","M","","","100.77","","","","","","NA"
"2018-12-01 05:00","2018","12","01","05:00","1.9","","-2.2","","74","","","M","","M","","","100.79","","","","","","NA"
"2018-12-01 06:00","2018","12","01","06:00","2.3","","-1.9","","74","","","M","","M","","","100.78","","","","","","NA"
"2018-12-01 07:00","2018","12","01","07:00","2.6","","-1.6","","74","","","M","","M","","","100.77","","","","","","NA"
"2018-12-01 08:00","2018","12","01","08:00","2.8","","-1.4","","74","","","M","","M","","","100.73","","","","","","NA"
"2018-12-01 09:00","2018","12","01","09:00","2.9","","-0.8","","76","","","M","","M","","","100.68","","","","","","NA"
"2018-12-01 10:00","2018","12","01","10:00","3.2","","0.0","","80","","","M","","M","","","100.62","","","","","","NA"
"2018-12-01 11:00","2018","12","01","11:00","3.6","","0.1","","78","","","M","","M","","","100.66","","","","","","NA"
"2018-12-01 12:00","2018","12","01","12:00","3.3","","-0.2","","78","","","M","","M","","","100.56","","","","","","NA"
"2018-12-01 13:00","2018","12","01","13:00","3.6","","-0.5","","74","","","M","","M","","","100.43","","","","","","NA"
"2018-12-01 14:00","2018","12","01","14:00","3.6","","-0.6","","74","","","M","","M","","","100.31","","","","","","NA"
"2018-12-01 15:00","2018","12","01","15:00","3.6","","-0.6","","74","","","M","","M","","","100.19","","","","","","NA"
"2018-12-01 16:00","2018","12","01","16:00","3.6","","0.2","","79","","","M","","M","","","100.16","","","","","","NA"
"2018-12-01 17:00","2018","12","01","17:00","3.8","","0.2","","78","","","M","","M","","","100.12","","","","","","NA"
"2018-12-01 18:00","2018","12","01","18:00","3.8","","0.5","","79","","","M","","M","","","100.12","","","","","","NA"
"2018-12-01 19:00","2018","12","01","19:00","3.1","","1.2","","87","","","M","","M","","","99.97","","","","","","NA"
"2018-12-01 20:00","2018","12","01","20:00","3.3","","1.2","","86","","","M","","M","","","99.87","","","","","","NA"
"2018-12-01 21:00","2018","12","01","21:00","3.6","","1.4","","85","","","M","","M","","","99.75","","","","","","NA"
"2018-12-01 22:00","2018","12","01","22:00","3.7","","1.4","","85","","","M","","M","","","99.60","","","","","","NA"
"2018-12-01 23:00","2018","12","01","23:00","3.5","","2.1","","91","","","M","","M","","","99.50","","","","","","NA"
"2018-12-02 00:00","2018","12","02","00:00","3.6","","2.6","","93","","","M","","M","","","99.44","","","","","","NA"
"2018-12-02 01:00","2018","12","02","01:00","3.8","","2.9","","94","","","M","","M","","","99.32","","","","","","NA"
"2018-12-02 02:00","2018","12","02","02:00","4.0","","3.1","","94","","","M","","M","","","99.20","","","","","","NA"
"2018-12-02 03:00","2018","12","02","03:00","4.2","","3.3","","94","","","M","","M","","","99.10","","","","","","NA"
"2018-12-02 04:00","2018","12","02","04:00","4.5","","3.6","","94","","","M","","M","","","98.98","","","","","","NA"
"2018-12-02 05:00","2018","12","02","05:00","4.7","","3.7","","94","","","M","","M","","","98.86","","","","","","NA"
"2018-12-02 06:00","2018","12","02","06:00","4.8","","3.8","","93","","","M","","M","","","98.77","","","","","","NA"
"2018-12-02 07:00","2018","12","02","07:00","5.0","","4.1","","94","","","M","","M","","","98.71","","","","","","NA"
"2018-12-02 08:00","2018","12","02","08:00","5.3","","4.4","","94","","","M","","M","","","98.62","","","","","","NA"
"2018-12-02 09:00","2018","12","02","09:00","5.7","","4.7","","93","","","M","","M","","","98.57","","","","","","NA"
"2018-12-02 10:00","2018","12","02","10:00","6.0","","4.8","","92","","","M","","M","","","98.55","","","","","","NA"
"2018-12-02 11:00","2018","12","02","11:00","6.5","","4.9","","90","","","M","","M","","","98.51","","","","","","NA"
"2018-12-02 12:00","2018","12","02","12:00","7.3","","5.5","","88","","","M","","M","","","98.43","","","","","","NA"
"2018-12-02 13:00","2018","12","02","13:00","8.6","","6.1","","85","","","M","","M","","","98.37","","","","","","NA"
"2018-12-02 14:00","2018","12","02","14:00","9.8","","6.6","","80","","","M","","M","","","98.33","","","","","","NA"
"2018-12-02 15:00","2018","12","02","15:00","10.7","","7.6","","81","","","M","","M","","","98.29","","","","","","NA"
"2018-12-02 16:00","2018","12","02","16:00","10.4","","7.1","","80","","","M","","M","","","98.28","","","","","","NA"
"2018-12-02 17:00","2018","12","02","17:00","9.3","","6.9","","85","","","M","","M","","","98.24","","","","","","NA"
"2018-12-02 18:00","2018","12","02","18:00","9.6","","7.4","","86","","","M","","M","","","98.22","","","","","","NA"
"2018-12-02 19:00","2018","12","02","19:00","8.9","","6.5","","85","","","M","","M","","","98.18","","","","","","NA"
"2018-12-02 20:00","2018","12","02","20:00","9.4","","7.2","","86","","","M","","M","","","98.28","","","","","","NA"
"2018-12-02 21:00","2018","12","02","21:00","9.4","","7.6","","89","","","M","","M","","","98.23","","","","","","NA"
"2018-12-02 22:00","2018","12","02","22:00","8.1","","6.5","","90","","","M","","M","","","98.28","","","","","","NA"
"2018-12-02 23:00","2018","12","02","23:00","7.8","","6.4","","91","","","M","","M","","","98.31","","","","","","NA"
"2018-12-03 00:00","2018","12","03","00:00","7.9","","6.7","","92","","","M","","M","","","98.27","","","","","","NA"
"2018-12-03 01:00","2018","12","03","01:00","7.6","","6.3","","91","","","M","","M","","","98.27","","","","","","NA"
"2018-12-03 02:00","2018","12","03","02:00","7.0","","5.8","","92","","","M","","M","","","98.31","","","","","","NA"
"2018-12-03 03:00","2018","12","03","03:00","6.3","","3.0","","79","","","M","","M","","","98.43","","","","","","NA"
"2018-12-03 04:00","2018","12","03","04:00","5.6","","3.2","","84","","","M","","M","","","98.45","","","","","","NA"
"2018-12-03 05:00","2018","12","03","05:00","5.5","","2.5","","81","","","M","","M","","","98.52","","","","","","NA"
"2018-12-03 06:00","2018","12","03","06:00","5.7","","1.9","","77","","","M","","M","","","98.58","","","","","","NA"
"2018-12-03 07:00","2018","12","03","07:00","5.5","","1.8","","77","","","M","","M","","","98.67","","","","","","NA"
"2018-12-03 08:00","2018","12","03","08:00","3.7","","0.2","","78","","","M","","M","","","98.85","","","","","","NA"
"2018-12-03 09:00","2018","12","03","09:00","3.1","","-1.3","","73","","","M","","M","","","98.99","","","","","","NA"
"2018-12-03 10:00","2018","12","03","10:00","2.3","","-2.0","","73","","","M","","M","","","99.12","","","","","","NA"
"2018-12-03 11:00","2018","12","03","11:00","1.8","","-2.0","","76","","","M","","M","","","99.25","","","","","","NA"
"2018-12-03 12:00","2018","12","03","12:00","1.8","","-2.5","","73","","","M","","M","","","99.26","","","","","","NA"
"2018-12-03 13:00","2018","12","03","13:00","1.6","","-3.4","","69","","","M","","M","","","99.27","","","","","","NA"
"2018-12-03 14:00","2018","12","03","14:00","1.7","","-3.0","","71","","","M","","M","","","99.38","","","","","","NA"
"2018-12-03 15:00","2018","12","03","15:00","1.4","","-2.3","","76","","","M","","M","","","99.48","","","","","","NA"
"2018-12-03 16:00","2018","12","03","16:00","1.0","","-1.6","","83","","","M","","M","","","99.58","","","","","","NA"
"2018-12-03 17:00","2018","12","03","17:00","0.8","","-1.2","","87","","","M","","M","","","99.69","","","","","","NA"
"2018-12-03 18:00","2018","12","03","18:00","1.0","","-1.8","","82","","","M","","M","","","99.79","","","","","","NA"
"2018-12-03 19:00","2018","12","03","19:00","0.9","","-2.8","","76","","","M","","M","","","99.90","","","","","","NA"
"2018-12-03 20:00","2018","12","03","20:00","0.8","","-3.6","","73","","","M","","M","","","99.97","","","","","","NA"
"2018-12-03 21:00","2018","12","03","21:00","0.4","","-4.4","","70","","","M","","M","","","100.03","","","","","","NA"
"2018-12-03 22:00","2018","12","03","22:00","0.0","","-5.3","","67","","","M","","M","","","100.08","","","","","","NA"
"2018-12-03 23:00","2018","12","03","23:00","-0.5","","-6.3","","65","","","M","","M","","","100.11","","","","","","NA"
"2018-12-04 00:00","2018","12","04","00:00","-0.9","","-6.3","","67","","","M","","M","","","100.16","","","","","","NA"
"2018-12-04 01:00","2018","12","04","01:00","-0.9","","-5.6","","70","","","M","","M","","","100.18","","","","","","NA"
"2018-12-04 02:00","2018","12","04","02:00","-0.9","","-5.9","","69","","","M","","M","","","100.23","","","","","","NA"
"2018-12-04 03:00","2018","12","04","03:00","-1.5","","-6.6","","68","","","M","","M","","","100.34","","","","","","NA"
"2018-12-04 04:00","2018","12","04","04:00","-2.4","","-7.2","","70","","","M","","M","","","100.38","","","","","","NA"
"2018-12-04 05:00","2018","12","04","05:00","-2.5","","-7.1","","71","","","M","","M","","","100.45","","","","","","NA"
"2018-12-04 06:00","2018","12","04","06:00","-3.1","","-7.5","","72","","","M","","M","","","100.51","","","","","","NA"
"2018-12-04 07:00","2018","12","04","07:00","-3.0","","-8.3","","67","","","M","","M","","","100.58","","","","","","NA"
"2018-12-04 08:00","2018","12","04","08:00","-3.3","","-8.8","","66","","","M","","M","","","100.65","","","","","","NA"
"2018-12-04 09:00","2018","12","04","09:00","-3.5","","-8.9","","66","","","M","","M","","","100.69","","","","","","NA"
"2018-12-04 10:00","2018","12","04","10:00","-3.3","","-9.1","","64","","","M","","M","","","100.73","","","","","","NA"
"2018-12-04 11:00","2018","12","04","11:00","-2.6","","-9.2","","60","","","M","","M","","","100.72","","","","","","NA"
"2018-12-04 12:00","2018","12","04","12:00","-2.2","","-9.3","","58","","","M","","M","","","100.66","","","","","","NA"
"2018-12-04 13:00","2018","12","04","13:00","-0.9","","-9.1","","54","","","M","","M","","","100.60","","","","","","NA"
"2018-12-04 14:00","2018","12","04","14:00","-0.9","","-9.2","","53","","","M","","M","","","100.54","","","","","","NA"
"2018-12-04 15:00","2018","12","04","15:00","-0.4","","-9.4","","50","","","M","","M","","","100.50","","","","","","NA"
"2018-12-04 16:00","2018","12","04","16:00","-0.9","","-7.3","","62","","","M","","M","","","100.51","","","","","","NA"
"2018-12-04 17:00","2018","12","04","17:00","-1.2","","-6.7","","66","","","M","","M","","","100.51","","","","","","NA"
"2018-12-04 18:00","2018","12","04","18:00","-1.5","","-6.8","","67","","","M","","M","","","100.52","","","","","","NA"
"2018-12-04 19:00","2018","12","04","19:00","-1.7","","-6.5","","70","","","M","","M","","","100.53","","","","","","NA"
"2018-12-04 20:00","2018","12","04","20:00","-1.4","","-6.4","","69","","","M","","M","","","100.54","","","","","","NA"
"2018-12-04 21:00","2018","12","04","21:00","-1.7","","-6.6","","69","","","M","","M","","","100.53","","","","","","NA"
"2018-12-04 22:00","2018","12","04","22:00","-1.9","","-6.5","","71","","","M","","M","","","100.52","","","","","","NA"
"2018-12-04 23:00","2018","12","04","23:00","-1.9","","-6.7","","70","","","M","","M","","","100.49","","","","","","NA"
"2018-12-05 00:00","2018","12","05","00:00","-2.5","","-7.5","","68","","","M","","M","","","100.48","","","","","","NA"
"2018-12-05 01:00","2018","12","05","01:00","-2.9","","-8.0","","68","","","M","","M","","","100.44","","","","","","NA"
"2018-12-05 02:00","2018","12","05","02:00","-3.1","","-7.8","","70","","","M","","M","","","100.42","","","","","","NA"
"2018-12-05 03:00","2018","12","05","03:00","-3.3","","-7.6","","72","","","M","","M","","","100.38","","","","","","NA"
"2018-12-05 04:00","2018","12","05","04:00","-4.0","","-8.0","","74","","","M","","M","","","100.36","","","","","","NA"
"2018-12-05 05:00","2018","12","05","05:00","-4.4","","-7.8","","77","","","M","","M","","","100.35","","","","","","NA"
"2018-12-05 06:00","2018","12","05","06:00","-4.3","","-7.5","","78","","","M","","M","","","100.38","","","","","","NA"
"2018-12-05 07:00","2018","12","05","07:00","-4.2","","-7.5","","78","","","M","","M","","","100.40","","","","","","NA"
"2018-12-05 08:00","2018","12","05","08:00","-3.2","","-7.1","","74","","","M","","M","","","100.38","","","","","","NA"
"2018-12-05 09:00","2018","12","05","09:00","-2.8","","-7.1","","72","","","M","","M","","","100.35","","","","","","NA"
"2018-12-05 10:00","2018","12","05","10:00","-1.2","","-6.1","","69","","","M","","M","","","100.37","","","","","","NA"
"2018-12-05 11:00","2018","12","05","11:00","0.2","","-6.2","","62","","","M","","M","","","100.35","","","","","","NA"
"2018-12-05 12:00","2018","12","05","12:00","1.0","","-6.2","","59","","","M","","M","","","100.31","","","","","","NA"
"2018-12-05 13:00","2018","12","05","13:00","1.7","","-6.0","","57","","","M","","M","","","100.28","","","","","","NA"
"2018-12-05 14:00","2018","12","05","14:00","1.9","","-7.9","","48","","","M","","M","","","100.28","","","","","","NA"
"2018-12-05 15:00","2018","12","05","15:00","1.8","","-7.9","","49","","","M","","M","","","100.28","","","","","","NA"
"2018-12-05 16:00","2018","12","05","16:00","1.5","","-7.7","","50","","","M","","M","","","100.32","","","","","","NA"
"2018-12-05 17:00","2018","12","05","17:00","0.8","","-7.7","","53","","","M","","M","","","100.32","","","","","","NA"
"2018-12-05 18:00","2018","12","05","18:00","0.8","","-7.6","","53","","","M","","M","","","100.36","","","","","","NA"
"2018-12-05 19:00","2018","12","05","19:00","0.7","","-7.6","","54","","","M","","M","","","100.40","","","","","","NA"
"2018-12-05 20:00","2018","12","05","20:00","0.8","","-7.3","","55","","","M","","M","","","100.39","","","","","","NA"
"2018-12-05 21:00","2018","12","05","21:00","0.8","","-7.7","","53","","","M","","M","","","100.38","","","","","","NA"
"2018-12-05 22:00","2018","12","05","22:00","0.6","","-6.8","","57","","","M","","M","","","100.37","","","","","","NA"
"2018-12-05 23:00","2018","12","05","23:00","0.6","","-5.9","","62","","","M","","M","","","100.37","","","","","","NA"
"2018-12-06 00:00","2018","12","06","00:00","0.4","","-4.9","","67","","","M","","M","","","100.34","","","","","","NA"
"2018-12-06 01:00","2018","12","06","01:00","0.4","","-4.3","","71","","","M","","M","","","100.34","","","","","","NA"
"2018-12-06 02:00","2018","12","06","02:00","0.0","","-6.0","","64","","","M","","M","","","100.35","","","","","","NA"
"2018-12-06 03:00","2018","12","06","03:00","-0.2","","-6.1","","64","","","M","","M","","","100.37","","","","","","NA"
"2018-12-06 04:00","2018","12","06","04:00","-0.6","","-5.0","","72","","","M","","M","","","100.32","","","","","","NA"
"2018-12-06 05:00","2018","12","06","05:00","-0.4","","-6.2","","65","","","M","","M","","","100.30","","","","","","NA"
"2018-12-06 06:00","2018","12","06","06:00","-0.8","","-5.7","","70","","","M","","M","","","100.31","","","","","","NA"
"2018-12-06 07:00","2018","12","06","07:00","-1.1","","-5.6","","71","","","M","","M","","","100.34","","","","","","NA"
"2018-12-06 08:00","2018","12","06","08:00","-1.1","","-5.1","","74","","","M","","M","","","100.33","","","","","","NA"
"2018-12-06 09:00","2018","12","06","09:00","-0.5","","-4.3","","76","","","M","","M","","","100.31","","","","","","NA"
"2018-12-06 10:00","2018","12","06","10:00","0.4","","-3.7","","74","","","M","","M","","","100.28","","","","","","NA"
"2018-12-06 11:00","2018","12","06","11:00","1.7","","-3.4","","68","","","M","","M","","","100.23","","","","","","NA"
"2018-12-06 12:00","2018","12","06","12:00","2.0","","-3.3","","68","","","M","","M","","","100.19","","","","","","NA"
"2018-12-06 13:00","2018","12","06","13:00","2.2","","-3.4","","66","","","M","","M","","","100.14","","","","","","NA"
"2018-12-06 14:00","2018","12","06","14:00","2.1","","-2.7","","70","","","M","","M","","","100.10","","","","","","NA"
"2018-12-06 15:00","2018","12","06","15:00","1.6","","-1.9","","78","","","M","","M","","","100.08","","","","","","NA"
"2018-12-06 16:00","2018","12","06","16:00","1.3","","-1.4","","82","","","M","","M","","","100.12","","","","","","NA"
"2018-12-06 17:00","2018","12","06","17:00","1.1","","-2.6","","76","","","M","","M","","","100.19","","","","","","NA"
"2018-12-06 18:00","2018","12","06","18:00","0.7","","-3.2","","75","","","M","","M","","","100.29","","","","","","NA"
"2018-12-06 19:00","2018","12","06","19:00","0.2","","-4.8","","69","","","M","","M","","","100.38","","","","","","NA"
"2018-12-06 20:00","2018","12","06","20:00","-0.6","","-4.5","","75","","","M","","M","","","100.50","","","","","","NA"
"2018-12-06 21:00","2018","12","06","21:00","-0.9","","-5.9","","69","","","M","","M","","","100.58","","","","","","NA"
"2018-12-06 22:00","2018","12","06","22:00","-1.4","","-7.4","","64","","","M","","M","","","100.69","","","","","","NA"
"2018-12-06 23:00","2018","12","06","23:00","-2.3","","-9.3","","59","","","M","","M","","","100.79","","","","","","NA"
"2018-12-07 00:00","2018","12","07","00:00","-2.8","","-9.1","","62","","","M","","M","","","100.90","","","","","","NA"
"2018-12-07 01:00","2018","12","07","01:00","-3.2","","-8.3","","68","","","M","","M","","","100.97","","","","","","NA"
"2018-12-07 02:00","2018","12","07","02:00","-3.4","","-7.6","","73","","","M","","M","","","101.06","","","","","","NA"
"2018-12-07 03:00","2018","12","07","03:00","-4.1","","-7.9","","75","","","M","","M","","","101.17","","","","","","NA"
"2018-12-07 04:00","2018","12","07","04:00","-5.0","","-7.8","","80","","","M","","M","","","101.24","","","","","","NA"
"2018-12-07 05:00","2018","12","07","05:00","-6.1","","-10.3","","72","","","M","","M","","","101.36","","","","","","NA"
"2018-12-07 06:00","2018","12","07","06:00","-7.0","","-11.3","","72","","","M","","M","","","101.42","","","","","","NA"
"2018-12-07 07:00","2018","12","07","07:00","-7.5","","-11.9","","71","","","M","","M","","","101.51","","","","","","NA"
"2018-12-07 08:00","2018","12","07","08:00","-7.4","","-11.9","","70","","","M","","M","","","101.58","","","","","","NA"
"2018-12-07 09:00","2018","12","07","09:00","-7.2","","-12.2","","67","","","M","","M","","","101.69","","","","","","NA"
"2018-12-07 10:00","2018","12","07","10:00","-6.6","","-12.2","","65","","","M","","M","","","101.75","","","","","","NA"
"2018-12-07 11:00","2018","12","07","11:00","-5.2","","-12.2","","58","","","M","","M","","","101.77","","","","","","NA"
"2018-12-07 12:00","2018","12","07","12:00","-5.0","","-13.3","","52","","","M","","M","","","101.76","","","","","","NA"
"2018-12-07 13:00","2018","12","07","13:00","-4.5","","-12.7","","53","","","M","","M","","","101.69","","","","","","NA"
"2018-12-07 14:00","2018","12","07","14:00","-4.2","","-13.0","","50","","","M","","M","","","101.65","","","","","","NA"
"2018-12-07 15:00","2018","12","07","15:00","-3.9","","-13.6","","47","","","M","","M","","","101.66","","","","","","NA"
"2018-12-07 16:00","2018","12","07","16:00","-3.5","","-14.3","","43","","","M","","M","","","101.66","","","","","","NA"
"2018-12-07 17:00","2018","12","07","17:00","-3.5","","-14.2","","43","","","M","","M","","","101.67","","","","","","NA"
"2018-12-07 18:00","2018","12","07","18:00","-3.6","","-11.1","","56","","","M","","M","","","101.66","","","","","","NA"
"2018-12-07 19:00","2018","12","07","19:00","-4.1","","-10.5","","61","","","M","","M","","","101.65","","","","","","NA"
"2018-12-07 20:00","2018","12","07","20:00","-3.8","","-10.4","","60","","","M","","M","","","101.61","","","","","","NA"
"2018-12-07 21:00","2018","12","07","21:00","-3.4","","-10.1","","60","","","M","","M","","","101.59","","","","","","NA"
"2018-12-07 22:00","2018","12","07","22:00","-2.9","","-11.0","","54","","","M","","M","","","101.54","","","","","","NA"
"2018-12-07 23:00","2018","12","07","23:00","-2.6","","-11.1","","52","","","M","","M","","","101.50","","","","","","NA"
"2018-12-08 00:00","2018","12","08","00:00","-2.6","","-10.0","","56","","","M","","M","","","101.46","","","","","","NA"
"2018-12-08 01:00","2018","12","08","01:00","-2.4","","-8.6","","62","","","M","","M","","","101.41","","","","","","NA"
"2018-12-08 02:00","2018","12","08","02:00","-2.6","","-6.3","","76","","","M","","M","","","101.43","","","","","","NA"
"2018-12-08 03:00","2018","12","08","03:00","-3.8","","-5.9","","86","","","M","","M","","","101.47","","","","","","NA"
"2018-12-08 04:00","2018","12","08","04:00","-3.4","","-5.0","","88","","","M","","M","","","101.46","","","","","","NA"
"2018-12-08 05:00","2018","12","08","05:00","-3.1","","-6.3","","79","","","M","","M","","","101.41","","","","","","NA"
"2018-12-08 06:00","2018","12","08","06:00","-2.9","","-7.6","","70","","","M","","M","","","101.51","","","","","","NA"
"2018-12-08 07:00","2018","12","08","07:00","-3.5","","-8.8","","67","","","M","","M","","","101.52","","","","","","NA"
"2018-12-08 08:00","2018","12","08","08:00","-4.2","","-8.6","","72","","","M","","M","","","101.59","","","","","","NA"
"2018-12-08 09:00","2018","12","08","09:00","-3.0","","-7.3","","72","","","M","","M","","","101.68","","","","","","NA"
"2018-12-08 10:00","2018","12","08","10:00","-1.2","","-6.6","","66","","","M","","M","","","101.79","","","","","","NA"
"2018-12-08 11:00","2018","12","08","11:00","-0.8","","-7.8","","59","","","M","","M","","","101.81","","","","","","NA"
"2018-12-08 12:00","2018","12","08","12:00","-0.5","","-9.2","","51","","","M","","M","","","101.78","","","","","","NA"
"2018-12-08 13:00","2018","12","08","13:00","-0.2","","-10.2","","47","","","M","","M","","","101.73","","","","","","NA"
"2018-12-08 14:00","2018","12","08","14:00","-0.2","","-9.2","","51","","","M","","M","","","101.67","","","","","","NA"
"2018-12-08 15:00","2018","12","08","15:00","0.0","","-8.3","","54","","","M","","M","","","101.67","","","","","","NA"
"2018-12-08 16:00","2018","12","08","16:00","0.0","","-8.5","","53","","","M","","M","","","101.76","","","","","","NA"
"2018-12-08 17:00","2018","12","08","17:00","-0.2","","-8.7","","53","","","M","","M","","","101.80","","","","","","NA"
"2018-12-08 18:00","2018","12","08","18:00","-0.5","","-8.2","","56","","","M","","M","","","101.86","","","","","","NA"
"2018-12-08 19:00","2018","12","08","19:00","-1.0","","-8.1","","58","","","M","","M","","","101.90","","","","","","NA"
"2018-12-08 20:00","2018","12","08","20:00","-1.6","","-8.7","","58","","","M","","M","","","101.90","","","","","","NA"
"2018-12-08 21:00","2018","12","08","21:00","-2.2","","-8.9","","60","","","M","","M","","","101.92","","","","","","NA"
"2018-12-08 22:00","2018","12","08","22:00","-1.3","","-8.2","","60","","","M","","M","","","101.92","","","","","","NA"
"2018-12-08 23:00","2018","12","08","23:00","-1.2","","-7.9","","60","","","M","","M","","","101.88","","","","","","NA"
"2018-12-09 00:00","2018","12","09","00:00","-1.4","","-7.1","","65","","","M","","M","","","101.82","","","","","","NA"
"2018-12-09 01:00","2018","12","09","01:00","-1.6","","-6.5","","69","","","M","","M","","","101.80","","","","","","NA"
"2018-12-09 02:00","2018","12","09","02:00","-1.8","","-7.6","","65","","","M","","M","","","101.75","","","","","","NA"
"2018-12-09 03:00","2018","12","09","03:00","-2.2","","-8.4","","62","","","M","","M","","","101.71","","","","","","NA"
"2018-12-09 04:00","2018","12","09","04:00","-2.4","","-8.7","","62","","","M","","M","","","101.62","","","","","","NA"
"2018-12-09 05:00","2018","12","09","05:00","-3.3","","-9.6","","62","","","M","","M","","","101.56","","","","","","NA"
"2018-12-09 06:00","2018","12","09","06:00","-3.5","","-9.4","","63","","","M","","M","","","101.49","","","","","","NA"
"2018-12-09 07:00","2018","12","09","07:00","-4.0","","-9.6","","65","","","M","","M","","","101.47","","","","","","NA"
"2018-12-09 08:00","2018","12","09","08:00","-4.4","","-9.3","","68","","","M","","M","","","101.43","","","","","","NA"
"2018-12-09 09:00","2018","12","09","09:00","-3.4","","-9.1","","64","","","M","","M","","","101.40","","","","","","NA"
"2018-12-09 10:00","2018","12","09","10:00","-2.2","","-8.9","","60","","","M","","M","","","101.35","","","","","","NA"
"2018-12-09 11:00","2018","12","09","11:00","-0.6","","-8.2","","56","","","M","","M","","","101.23","","","","","","NA"
"2018-12-09 12:00","2018","12","09","12:00","0.3","","-7.6","","56","","","M","","M","","","101.13","","","","","","NA"
"2018-12-09 13:00","2018","12","09","13:00","0.7","","-8.3","","51","","","M","","M","","","100.99","","","","","","NA"
"2018-12-09 14:00","2018","12","09","14:00","0.9","","-7.9","","52","","","M","","M","","","100.94","","","","","","NA"
"2018-12-09 15:00","2018","12","09","15:00","0.6","","-8.6","","50","","","M","","M","","","100.95","","","","","","NA"
"2018-12-09 16:00","2018","12","09","16:00","0.3","","-7.2","","57","","","M","","M","","","100.98","","","","","","NA"
"2018-12-09 17:00","2018","12","09","17:00","-0.8","","-6.8","","64","","","M","","M","","","100.97","","","","","","NA"
"2018-12-09 18:00","2018","12","09","18:00","-0.7","","-6.8","","63","","","M","","M","","","100.99","","","","","","NA"
"2018-12-09 19:00","2018","12","09","19:00","-0.8","","-6.5","","65","","","M","","M","","","101.01","","","","","","NA"
"2018-12-09 20:00","2018","12","09","20:00","-0.7","","-5.9","","68","","","M","","M","","","100.99","","","","","","NA"
"2018-12-09 21:00","2018","12","09","21:00","-0.6","","-5.7","","68","","","M","","M","","","100.94","","","","","","NA"
"2018-12-09 22:00","2018","12","09","22:00","-0.3","","-5.5","","68","","","M","","M","","","100.92","","","","","","NA"
"2018-12-09 23:00","2018","12","09","23:00","0.0","","-5.4","","67","","","M","","M","","","100.89","","","","","","NA"
"2018-12-10 00:00","2018","12","10","00:00","0.1","","-5.3","","67","","","M","","M","","","100.85","","","","","","NA"
"2018-12-10 01:00","2018","12","10","01:00","0.0","","-5.3","","67","","","M","","M","","","100.79","","","","","","NA"
"2018-12-10 02:00","2018","12","10","02:00","0.0","","-5.0","","69","","","M","","M","","","100.77","","","","","","NA"
"2018-12-10 03:00","2018","12","10","03:00","0.2","","-4.6","","70","","","M","","M","","","100.79","","","","","","NA"
"2018-12-10 04:00","2018","12","10","04:00","0.3","","-4.3","","72","","","M","","M","","","100.75","","","","","","NA"
"2018-12-10 05:00","2018","12","10","05:00","0.4","","-4.0","","72","","","M","","M","","","100.75","","","","","","NA"
"2018-12-10 06:00","2018","12","10","06:00","0.6","","-3.8","","72","","","M","","M","","","100.76","","","","","","NA"
"2018-12-10 07:00","2018","12","10","07:00","0.7","","-3.7","","72","","","M","","M","","","100.81","","","","","","NA"
"2018-12-10 08:00","2018","12","10","08:00","0.8","","-3.6","","72","","","M","","M","","","100.83","","","","","","NA"
"2018-12-10 09:00","2018","12","10","09:00","0.9","","-3.7","","71","","","M","","M","","","100.88","","","","","","NA"
"2018-12-10 10:00","2018","12","10","10:00","1.4","","-3.8","","69","","","M","","M","","","100.92","","","","","","NA"
"2018-12-10 11:00","2018","12","10","11:00","1.7","","-3.7","","68","","","M","","M","","","100.91","","","","","","NA"
"2018-12-10 12:00","2018","12","10","12:00","1.8","","-5.3","","59","","","M","","M","","","100.87","","","","","","NA"
"2018-12-10 13:00","2018","12","10","13:00","1.7","","-5.6","","58","","","M","","M","","","100.83","","","","","","NA"
"2018-12-10 14:00","2018","12","10","14:00","1.9","","-5.3","","59","","","M","","M","","","100.78","","","","","","NA"
"2018-12-10 15:00","2018","12","10","15:00","1.7","","-4.1","","65","","","M","","M","","","100.75","","","","","","NA"
"2018-12-10 16:00","2018","12","10","16:00","1.6","","-3.4","","70","","","M","","M","","","100.74","","","","","","NA"
